"Date","Post ID","Network","Post Type","Content Type","Profile","Sent by","Link","Post","Linked Content","Impressions","Organic Impressions","Paid Impressions","Reach","Organic Reach","Paid Reach","Potential Reach","Engagement Rate (per Impression)","Engagements","Reactions","Likes","Dislikes","Love Reactions","Haha Reactions","Wow Reactions","Sad Reactions","Angry Reactions","Comments","Shares","Saves","Post Link Clicks","SproutLink Clicks","Other Post Clicks","Post Clicks (All)","Other Engagements","Subscribers Gained from Video","Annotation Clicks","Card Clicks","Video Views","Organic Video Views","Paid Video Views","Partial Video Views","Organic Partial Video Views","Paid Partial Video Views","Full Video Views","Organic Full Video Views","Paid Full Video Views","Full Video View Rate","Follow Video Views","For You Video Views","Hashtag Video Views","Business Account Video Views","Others Video Views","Search Video Views","Sound Video Views","Unspecified Video Views","Estimated Minutes Watched","Story Taps Back","Story Taps Forward","Story Exits","Story Replies","Video Added to Playlists","Subscribers Lost from Video","Video Removed from Playlists","Average Video Time Watched (Seconds)","Poll Votes","Tags"
"7/30/2025 1:38 pm","17918774799106902","Instagram","Reel","Video","wichitastateu","Lainie Mazzullo","https://www.instagram.com/reel/DMvgTFvxW1P/","Take a virtual tour of the Marcus Welcome Center, home to the Shocker Career Accelerator and WSU Admissions. 

💛 Recruitment and admissions guidance
💼 Career development and internship assistance
🎓 Alumni success stories",,"9,075","9,075","","5,121","5,121","","","2.94%","267","246","246","","","","","","","1","16","4","","","","","","","","","9,075","9,075","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/14/2025 12:03 pm","18071855635769035","Instagram","Post","Photo","wichitastateu"," ","https://www.instagram.com/p/DGEAWQgtAK2/","Wichita State is excited to welcome Grace Naylor, a senior from Prairie View High School, to Shocker Nation! Grace is the winner of the 2025 Lenora N. McGregor Scholarship, a four-year, $26,000 scholarship.",,"9,556","9,556","","6,242","6,242","","","2.71%","259","250","250","","","","","","","0","6","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8/11/2025 1:35 pm","18134296999440941","Instagram","Reel","Video","wichitastateu","Lainie Mazzullo","https://www.instagram.com/reel/DNOZYLIBvmo/","Only☝🏽more week until the fall semester begins! #shockersup",,"7,816","7,816","","4,365","4,365","","","3.3%","258","249","249","","","","","","","2","7","0","","","","","","","","","7,816","7,816","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/22/2025 10:14 am","18036199436158480","Instagram","Reel","Video","wichitastateu"," ","https://www.instagram.com/reel/DFIlh_8KyDM/","Shockers, the Free Application for Federal Student Aid (FAFSA) allows students to apply for a full range of possible financial aid programs, including work-study, grants and loans. Learn more and take advantage of the opportunities at the 🔗 link in bio.",,"12,449","12,449","","7,180","7,180","","","2.07%","258","214","214","","","","","","","6","34","4","","","","","","","","","12,449","12,449","","","","","","","","","","","","","","","","","","","","","","","","","","","Enrollment/Registration"
"3/12/2025 3:48 pm","18039371054187988","Instagram","Reel","Video","wichitastateu"," ","https://www.instagram.com/reel/DHHP7h0PXJN/","Caroline Tallent, a WSU senior studying mechanical engineering, is here to remind you to check your WSU email for this morning's edition of Shocker Blast — the official university newsletter just for students.

And don't forget to go support @goshockerssb this weekend against North Texas! Go Shockers! 🥎🌾",,"10,636","10,636","","6,476","6,476","","","2.42%","257","243","243","","","","","","","5","8","1","","","","","","","","","10,636","10,636","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/22/2025 10:31 am","18285590620285040","Instagram","Post","Carousel","wichitastateu","Tate Penner","https://www.instagram.com/p/DO6N20jjTTN/","Fall starts today. Our leaves said, “Nah, we’re good.” 🍃➡️🍁",,"14,802","14,802","","2,942","2,942","","","1.72%","255","248","248","","","","","","","1","4","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","WSU Views"
"7/24/2025 3:10 pm","18066302321514608","Instagram","Post","Carousel","wichitastateu","Lainie Mazzullo","https://www.instagram.com/p/DMgOGqCvf5x/","Another fun and adventurous summer at Geology Field School in Bighorn Basin, Wyoming. 🔨",,"18,323","18,323","","4,837","4,837","","","1.39%","255","250","250","","","","","","","2","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/5/2025 11:19 am","18020226659757267","Instagram","Post","Photo","wichitastateu","Lainie Mazzullo","https://www.instagram.com/p/DOOh0MOiWVs/","🎶💛 At Wichita State, hope has a soundtrack.

This Suicide Awareness Month, we’re highlighting the @wsuschoolofmusic for its leadership in supporting mental health through advocacy, creativity and community. From performing powerful music about holding on through pain, to weaving wellness into daily learning, our faculty and students remind us that music isn’t just about performance, it’s about people.",,"17,543","17,543","","5,393","5,393","","","1.44%","252","228","228","","","","","","","0","21","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Observances"
"6/3/2025 12:49 pm","18086920663711276","Instagram","Reel","Video","wichitastateu"," ","https://www.instagram.com/reel/DKcpP2BKVdD/","Lauren’s path from Wichita State to NASA shows what’s possible when education meets opportunity. As an engineering student, she was handed meaningful work on day one, contributing to projects for the International Space Station and Artemis missions.

With hands-on research, real-world impact and support from faculty mentors, Lauren’s experience is what being a Shocker is all about. #ShockersUp",,"8,063","8,063","","4,734","4,734","","","3.11%","251","211","211","","","","","","","7","28","5","","","","","","","","","8,063","8,063","","","","","","","","","","","","","","","","","","","","","","","","","","","Engineering"
"2/25/2025 11:14 am","17999676338742327","Instagram","Reel","Video","wichitastateu"," ","https://www.instagram.com/reel/DGgPeh3PEWb/","Today’s the day! 🎬🌾 Wichita State is the first college in Kansas to be featured on ""The College Tour,"" and our episode is now LIVE! Watch the stories that make our university one of a kind. 🔗 Link in bio. #ShockersUp #TheCollegeTour",,"11,819","11,819","","6,983","6,983","","","2.12%","251","218","218","","","","","","","2","24","7","","","","","","","","","11,819","11,819","","","","","","","","","","","","","","","","","","","","","","","","","","",""
